championId_266,championId_103,championId_84,championId_12,championId_32,championId_34,championId_1,championId_22,championId_268,championId_432,championId_53,championId_63,championId_201,championId_51,championId_69,championId_31,championId_42,championId_122,championId_131,championId_36,championId_119,championId_245,championId_60,championId_28,championId_81,championId_9,championId_114,championId_105,championId_3,championId_41,championId_86,championId_150,championId_79,championId_104,championId_120,championId_74,championId_420,championId_39,championId_40,championId_59,championId_24,championId_126,championId_222,championId_429,championId_43,championId_30,championId_38,championId_55,championId_10,championId_85,championId_121,championId_203,championId_96,championId_7,championId_64,championId_89,championId_127,championId_236,championId_117,championId_99,championId_54,championId_90,championId_57,championId_11,championId_21,championId_82,championId_25,championId_267,championId_75,championId_111,championId_76,championId_56,championId_20,championId_2,championId_61,championId_80,championId_78,championId_133,championId_33,championId_421,championId_58,championId_107,championId_92,championId_68,championId_13,championId_113,championId_35,championId_98,championId_102,championId_27,championId_14,championId_15,championId_72,championId_37,championId_16,championId_50,championId_134,championId_223,championId_91,championId_44,championId_17,championId_412,championId_18,championId_48,championId_23,championId_4,championId_29,championId_77,championId_6,championId_110,championId_67,championId_45,championId_161,championId_254,championId_112,championId_8,championId_106,championId_19,championId_62,championId_101,championId_5,championId_157,championId_83,championId_154,championId_238,championId_115,championId_26,championId_143,tier_1,tier_2,sight_jungle_1,vision_jungle_1,wards_placed_jungle_1,sight_support_1,vision_support_1,wards_placed_support_1,sight_jungle_2,vision_jungle_2,wards_placed_jungle_2,sight_support_2,vision_support_2,wards_placed_support_2,TOP_zeroToTenGold_1,TOP_tenToTwentyGold_1,MIDDLE_zeroToTenGold_1,MIDDLE_tenToTwentyGold_1,JUNGLE_zeroToTenGold_1,JUNGLE_tenToTwentyGold_1,DUO_CARRY_zeroToTenGold_1,DUO_CARRY_tenToTwentyGold_1,DUO_SUPPORT_zeroToTenGold_1,DUO_SUPPORT_tenToTwentyGold_1,TOP_zeroToTenGold_2,TOP_tenToTwentyGold_2,MIDDLE_zeroToTenGold_2,MIDDLE_tenToTwentyGold_2,JUNGLE_zeroToTenGold_2,JUNGLE_tenToTwentyGold_2,DUO_CARRY_zeroToTenGold_2,DUO_CARRY_tenToTwentyGold_2,DUO_SUPPORT_zeroToTenGold_2,DUO_SUPPORT_tenToTwentyGold_2,TOP_zeroToTenCreeps_1,TOP_tenToTwentyCreeps_1,MIDDLE_zeroToTenCreeps_1,MIDDLE_tenToTwentyCreeps_1,JUNGLE_zeroToTenCreeps_1,JUNGLE_tenToTwentyCreeps_1,DUO_CARRY_zeroToTenCreeps_1,DUO_CARRY_tenToTwentyCreeps_1,DUO_SUPPORT_zeroToTenCreeps_1,DUO_SUPPORT_tenToTwentyCreeps_1,TOP_zeroToTenCreeps_2,TOP_tenToTwentyCreeps_2,MIDDLE_zeroToTenCreeps_2,MIDDLE_tenToTwentyCreeps_2,JUNGLE_zeroToTenCreeps_2,JUNGLE_tenToTwentyCreeps_2,DUO_CARRY_zeroToTenCreeps_2,DUO_CARRY_tenToTwentyCreeps_2,DUO_SUPPORT_zeroToTenCreeps_2,DUO_SUPPORT_tenToTwentyCreeps_2,firstBlood,wards_killed_jungle_1,wards_killed_support_1,wards_killed_jungle_2,wards_killed_support_2,neutral_jungle_1,neutral_jungle_2
0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,2,6,3,3,17,0,1,10,0,0,21,227,313,273,471,239,502,264,394,169,248,236,328,240,268,257,270,266,306,222,186,6.9,7.8,7.3,7.6,0.3,2.3,7.1,6.7,1.1,1.0,7.0,8.9,6.2,5.8,0.9,1.3,6.0,7.6,0.9,1.6,1,11,4,2,1,100,66
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,8,5,3,3,31,0,0,35,5,3,9,0,4,34,236,247,232,349,252,204,265,339,176,181,274,370,299,380,306,399,243,444,154,227,7.0,6.1,5.3,7.5,1.2,0.7,6.5,9.5,0.6,1.4,7.3,7.9,8.0,6.3,0.2,2.0,7.1,8.2,0.7,0.8,0,6,2,5,5,46,89
0,1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,4,0,1,2,10,0,1,18,3,0,12,2,2,27,263,422,272,556,285,415,291,455,158,262,237,312,183,273,251,363,241,274,193,176,3.5,4.8,6.3,8.3,0.6,2.2,5.0,7.7,0.1,0.4,4.3,6.4,4.5,4.4,0.5,2.0,6.2,6.5,0.1,0.4,1,0,3,3,5,50,42
0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,5,10,0,0,0,1,6,36,2,2,7,2,3,21,274,400,217,462,284,576,325,513,216,403,189,298,207,322,213,367,271,285,181,190,7.4,6.7,5.0,4.7,0.8,7.5,7.0,8.3,1.3,1.4,4.4,3.5,5.5,5.1,1.0,3.2,5.4,6.0,0.1,0.4,0,5,6,0,4,120,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,12,4,0,1,24,0,0,32,0,0,10,1,3,41,200,429,229,316,292,269,280,375,198,305,227,343,292,540,205,348,246,291,147,212,4.5,7.7,6.8,7.6,0.3,0.5,7.0,8.9,0.1,0.2,5.1,7.1,8.9,9.3,0.2,2.5,5.7,6.6,1.1,0.9,0,1,7,2,12,67,70
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,2,10,2,3,24,0,0,6,1,3,27,262,349,304,308,211,299,210,328,132,159,215,373,261,323,213,373,291,412,145,250,7.9,10.9,7.5,9.1,0.0,1.5,5.4,8.9,0.3,0.5,5.4,10.0,6.6,7.7,0.5,3.3,7.6,9.1,0.9,0.8,1,6,4,6,6,77,81
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,21,2,3,11,0,1,28,260,388,254,419,273,329,315,443,204,312,298,254,238,261,266,326,242,300,179,187,6.8,7.9,7.6,9.1,0.2,0.9,6.6,8.3,0.4,0.4,5.5,3.1,7.2,6.8,0.7,1.3,5.2,6.8,0.9,1.1,1,6,8,3,4,78,66
0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,10,10,2,2,11,0,1,17,0,1,19,0,0,58,207,388,305,498,297,550,235,452,137,355,278,328,215,347,244,218,170,197,134,159,5.6,8.1,8.6,7.8,0.3,3.2,7.5,7.5,0.1,0.3,7.7,8.5,6.1,4.2,0.3,0.6,3.8,2.8,1.2,1.0,0,1,1,2,3,78,57
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,0,5,11,1,3,8,1,2,15,357,498,216,422,223,489,269,557,176,418,250,447,276,381,301,418,319,357,135,260,7.0,5.2,6.4,7.9,0.8,1.5,7.1,4.8,1.3,1.2,3.9,2.0,9.1,5.8,1.1,2.7,6.5,6.5,0.1,0.3,1,6,3,3,1,51,58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,3,9,0,3,42,2,0,31,4,5,36,221,469,229,398,210,444,213,471,185,317,227,357,329,336,303,300,274,272,174,231,6.7,4.5,5.0,5.5,0.0,1.6,6.4,10.9,0.7,0.4,5.2,8.6,6.7,5.9,0.4,1.7,5.8,5.0,0.8,1.0,1,8,10,6,5,100,82
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,10,0,1,22,1,3,28,0,1,18,1,4,24,334,309,285,288,250,327,195,381,207,278,212,402,231,444,274,380,297,484,201,347,7.5,5.6,6.2,5.9,1.2,1.4,4.2,7.4,0.4,0.9,6.3,6.8,5.9,8.2,1.2,2.0,7.3,8.1,0.1,1.0,1,7,5,10,7,61,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,5,2,3,7,0,8,40,0,3,21,1,3,32,360,389,276,387,211,361,222,326,235,260,254,370,264,402,276,456,250,454,149,326,7.4,5.2,6.2,3.8,0.8,1.5,4.1,3.9,1.3,1.3,4.6,5.0,6.9,4.7,0.8,1.1,6.2,7.4,0.8,1.4,0,9,17,1,8,87,114
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,2,6,3,2,20,4,2,6,0,3,26,236,396,281,368,230,276,245,341,128,171,251,427,251,406,217,377,250,487,158,296,4.9,9.1,9.8,10.4,0.1,0.9,7.1,9.4,0.6,1.2,7.3,9.9,8.0,10.3,0.3,0.5,7.7,10.6,0.0,0.4,0,4,4,1,5,74,75
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,25,0,2,13,0,0,23,238,450,244,517,252,525,337,512,174,300,229,411,313,389,276,414,220,372,163,298,4.9,7.8,6.9,7.2,0.1,2.0,7.4,7.7,0.4,0.7,6.1,6.2,8.1,5.9,0.3,1.5,5.9,8.3,1.1,2.0,0,0,3,2,2,68,76
0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,3,3,7,,,,0,0,11,0,2,15,315,468,208,345,271,584,null,null,null,null,212,406,226,383,282,362,195,475,164,320,6.0,7.1,5.6,3.9,0.5,4.0,null,null,null,null,6.0,5.2,6.4,4.4,0.5,2.5,4.8,8.2,0.0,1.6,0,3,,3,2,128,55
0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,6,0,0,25,0,2,6,1,5,34,222,448,227,421,229,560,267,403,164,397,251,315,256,589,287,423,225,305,152,194,6.6,5.3,6.6,8.2,0.4,1.8,6.5,7.5,0.3,0.4,7.9,5.4,8.5,6.9,0.9,1.4,6.1,6.0,1.3,0.4,0,3,8,4,4,99,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,3,9,1,1,22,0,0,1,0,1,29,272,360,223,349,269,412,259,335,160,213,195,381,216,438,258,457,281,473,158,314,6.4,6.8,5.8,7.8,0.9,1.1,7.0,6.3,0.1,0.5,4.8,7.0,4.9,8.1,1.5,1.5,6.7,9.9,0.0,1.2,0,6,1,2,3,89,88
0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,1,1,4,0,4,37,1,1,15,0,4,36,261,330,257,438,166,278,241,429,147,253,184,447,321,385,316,358,246,322,157,220,6.4,8.4,6.4,8.9,0.0,0.9,7.2,8.1,1.0,1.2,4.7,10.0,7.8,9.2,0.0,0.7,7.4,8.8,0.9,1.0,1,6,2,2,16,68,109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,15,2,2,5,0,2,16,0,1,10,1,3,18,245,372,288,391,241,286,219,360,140,184,280,530,300,621,216,393,256,442,140,374,4.5,6.3,7.9,6.8,1.7,0.9,5.9,5.7,0.2,0.3,5.5,5.5,8.6,9.1,0.2,0.9,7.8,7.2,0.0,0.0,1,4,5,2,0,41,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,10,15,1,2,18,1,7,35,2,3,5,2,4,36,247,361,293,433,288,466,285,526,166,277,232,388,221,355,232,330,213,519,152,387,5.6,4.8,7.2,6.8,0.6,2.5,7.4,5.9,0.4,0.8,6.4,5.4,6.5,6.0,0.5,3.1,4.5,3.4,0.2,0.4,0,7,12,4,4,59,54
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,11,1,1,28,0,1,4,1,6,51,247,316,244,352,266,389,313,480,201,386,226,410,318,401,251,398,220,379,130,255,6.3,6.5,6.0,6.0,0.1,1.8,7.4,9.5,0.5,2.4,3.1,6.4,8.2,6.1,0.4,1.3,4.9,9.3,1.0,1.0,1,2,7,5,6,93,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,9,1,5,56,1,2,4,0,1,48,235,311,244,410,311,470,289,428,172,280,258,405,264,471,305,391,214,328,125,180,6.3,5.3,7.7,8.3,0.1,2.4,7.1,7.5,0.7,2.0,6.7,9.9,8.4,7.5,0.1,0.6,6.0,8.6,0.1,0.6,0,4,11,10,5,115,117
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,30,0,0,7,0,5,25,302,326,256,341,274,384,300,469,256,474,247,458,321,405,297,710,324,379,225,371,4.9,3.7,6.0,6.2,1.1,2.4,5.4,7.6,0.3,0.9,5.1,7.3,6.4,5.6,0.4,1.5,5.7,5.5,0.8,1.6,0,3,3,3,2,87,62
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,16,1,1,3,1,4,21,281,511,null,null,271,398,245,322,188,296,253,428,278,491,405,526,312,553,161,281,6.6,8.1,null,null,4.5,6.6,4.2,3.9,0.1,0.5,4.9,8.9,5.7,6.0,0.6,1.0,7.6,8.4,0.8,0.8,1,0,1,2,1,2,86
0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,1,4,0,0,26,0,1,6,2,1,17,207,362,246,310,225,270,263,337,151,293,286,391,252,449,238,394,261,557,148,382,5.7,7.0,7.9,5.9,0.2,2.1,6.1,7.7,1.1,2.1,5.4,6.1,7.8,9.4,1.0,2.4,5.9,10.7,0.9,0.9,1,0,4,5,3,54,70
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,9,2,1,5,0,2,26,2,1,29,0,0,25,289,307,249,310,271,414,268,355,167,317,259,430,304,481,372,408,296,534,218,326,5.2,7.4,7.5,5.2,0.2,1.6,5.8,5.6,0.9,1.3,6.7,7.1,9.2,9.0,1.0,1.6,6.3,8.1,0.0,0.6,0,6,5,2,3,61,47
